design;pore_hydro;surf_hydro;all_hydro;beta_prop;category
sol_0_0004_5.fasta;2.165625;-1.47948717948718;-0.14862385321100915;na;medref_soluble
sol_0_0007_2.fasta;2.05;-1.8435897435897441;-0.44220183486238523;na;medref_soluble
sol_0_0007_8.fasta;1.9375;-1.8794871794871801;-0.48807339449541315;na;medref_soluble
sol_0_0018_3.fasta;1.8343750000000003;-1.5410256410256413;-0.45321100917431195;na;medref_soluble
sol_0_0018_9.fasta;1.8281250000000007;-1.4205128205128206;-0.4119266055045869;na;medref_soluble
sol_0_0042_3.fasta;1.6500000000000004;-1.8333333333333337;-0.46788990825688054;na;medref_soluble
sol_0_0042_9.fasta;1.8625000000000003;-1.9000000000000001;-0.3394495412844034;na;medref_soluble
sol_0_0052_7.fasta;1.946875;-2.035897435897436;-0.31376146788990816;na;medref_soluble
sol_10_0012_7.fasta;1.8625000000000005;-2.0589743589743597;-0.48348623853211004;na;medref_soluble
sol_10_0040_1.fasta;1.8937499999999998;-2.646153846153847;-0.6733944954128442;na;medref_soluble
sol_10_0050_5.fasta;1.5687499999999996;-1.4589743589743591;-0.4348623853211009;na;medref_soluble
sol_10_0056_1.fasta;2.0343749999999994;-2.3410256410256416;-0.5816513761467892;na;medref_soluble
sol_10_0068_4.fasta;2.025000000000001;-1.9538461538461542;-0.48990825688073397;na;medref_soluble
sol_10_0094_3.fasta;2.1781250000000005;-1.705128205128206;-0.21559633027522923;na;medref_soluble
sol_10_0094_9.fasta;2.2156250000000006;-1.9051282051282057;-0.25321100917431183;na;medref_soluble
sol_10_0097_4.fasta;1.8000000000000005;-1.9538461538461547;-0.6724770642201837;na;medref_soluble
sol_1_0036_0.fasta;2.1999999999999997;-1.5051282051282053;-0.17889908256880727;na;medref_soluble
sol_1_0058_3.fasta;1.1875000000000002;-1.4153846153846155;-0.446788990825688;na;medref_soluble
sol_1_0058_9.fasta;1.6468750000000003;-1.1128205128205126;-0.20366972477064216;na;medref_soluble
sol_1_0074_2.fasta;2.0187500000000003;-2.874358974358975;-0.8972477064220187;na;medref_soluble
sol_1_0074_8.fasta;1.8562500000000004;-2.57948717948718;-0.8394495412844039;na;medref_soluble
sol_1_0088_5.fasta;1.7500000000000002;-1.848717948717949;-0.4100917431192661;na;medref_soluble
sol_11_0009_0.fasta;1.3250000000000002;-1.7820512820512828;-0.4816513761467891;na;medref_soluble
sol_11_0020_2.fasta;1.6062500000000002;-1.6666666666666674;-0.4256880733944953;na;medref_soluble
sol_11_0020_8.fasta;1.4812500000000004;-1.4384615384615393;-0.32660550458715587;na;medref_soluble
sol_11_0067_3.fasta;1.659375;-2.2256410256410257;-0.8055045871559636;na;medref_soluble
sol_11_0067_9.fasta;1.4843750000000002;-2.2871794871794875;-0.7743119266055051;na;medref_soluble
sol_11_0092_5.fasta;1.6875000000000002;-1.553846153846154;-0.3073394495412842;na;medref_soluble
sol_12_0028_2.fasta;1.928125;-2.6615384615384627;-0.7119266055045878;na;medref_soluble
sol_12_0028_8.fasta;1.8375000000000006;-2.374358974358975;-0.5816513761467891;na;medref_soluble
sol_12_0032_0.fasta;1.4343750000000004;-2.4102564102564106;-0.6495412844036699;na;medref_soluble
