rmsd	tmscore
1.84	0.74881
1.99	0.74568
2.0	0.75166
2.4	0.71201
2.16	0.73519
1.98	0.76202
1.94	0.75938
2.34	0.70812
1.95	0.76107
1.65	0.76857
1.84	0.77521
2.08	0.74783
1.62	0.77119
2.16	0.72244
2.07	0.75189
2.27	0.72127
1.7	0.76612
1.73	0.76553
1.8	0.77831
1.84	0.74752
2.33	0.70857
1.73	0.76321
1.96	0.77069
2.37	0.71582
2.18	0.72939
1.91	0.76351
1.94	0.73484
1.86	0.76691
1.82	0.7497
1.89	0.74885
1.88	0.76929
2.02	0.74887
1.8	0.78446
1.98	0.75528
2.14	0.72414
1.86	0.77186
1.74	0.76138
1.99	0.75393
2.12	0.73202
2.0	0.75523
1.93	0.7612
2.39	0.69969
2.12	0.74144
1.99	0.7646
2.11	0.74135
2.08	0.74152
2.17	0.73479
1.9	0.76089
2.0	0.75892
1.99	0.76214
2.01	0.75151
2.0	0.73427
2.11	0.7366
2.34	0.67184
1.62	0.76945
2.0	0.75529
1.94	0.75769
2.34	0.68414
2.01	0.74874
1.92	0.76225
1.81	0.76783
1.8	0.752
1.95	0.76364
2.24	0.70283
2.09	0.74888
2.09	0.71589
2.25	0.72173
1.73	0.76398
1.81	0.77173
1.72	0.76406
2.33	0.71415
1.94	0.75866
1.96	0.76069
2.1	0.70184
2.18	0.70342
2.02	0.75427
1.89	0.74146
1.85	0.77083
1.89	0.74085
1.9	0.74375
1.98	0.75722
2.09	0.72996
1.83	0.74659
2.02	0.74296
2.09	0.71751
1.83	0.76204
1.67	0.77104
1.86	0.76194
2.16	0.71737
1.73	0.7578
1.87	0.76986
2.53	0.66932
1.54	0.76039
1.95	0.73722
2.24	0.71872
2.28	0.72281
2.24	0.71915
1.87	0.7636
1.69	0.76371
2.08	0.74774
1.87	0.76202
1.95	0.7633
1.92	0.76753
2.43	0.71916
1.76	0.76192
1.69	0.7729
1.84	0.77992
2.3	0.71155
1.87	0.77518
1.52	0.78946
1.85	0.77823
1.75	0.7656
1.61	0.79405
2.08	0.73593
1.93	0.75947
2.22	0.73508
1.75	0.76596
1.75	0.78259
1.56	0.77929
1.71	0.76754
2.03	0.74279
1.6	0.78178
1.76	0.76674
2.19	0.73414
2.18	0.73316
1.83	0.76802
1.86	0.7653
1.86	0.78617
1.78	0.77624
1.81	0.76325
1.75	0.78399
1.92	0.76543
1.65	0.7744
1.91	0.75651
1.92	0.74533
1.87	0.77434
1.79	0.77505
1.59	0.77879
2.24	0.7395
1.88	0.76537
1.69	0.78107
2.5	0.7032
1.83	0.76927
2.12	0.75008
1.92	0.75897
1.91	0.75823
2.07	0.73854
1.93	0.78208
1.95	0.77098
1.86	0.76978
1.91	0.76037
2.18	0.74048
2.08	0.74631
2.6	0.68363
1.74	0.76861
1.98	0.76673
1.97	0.76218
2.58	0.68448
1.99	0.75899
1.87	0.76683
1.84	0.77756
2.0	0.75165
1.82	0.77257
2.25	0.71226
2.05	0.75543
2.3	0.72131
2.02	0.73681
1.93	0.76906
1.55	0.78328
1.74	0.76643
2.22	0.71781
1.71	0.76959
1.82	0.78085
2.47	0.70745
2.33	0.71127
1.9	0.7647
1.92	0.74322
1.92	0.78139
2.05	0.74533
1.93	0.74877
1.92	0.77201
2.09	0.7421
1.8	0.76023
1.98	0.75341
2.32	0.72143
1.88	0.77536
1.7	0.7739
1.91	0.77157
2.19	0.72625
2.0	0.76142
1.82	0.78183
2.52	0.68055
2.04	0.75753
2.18	0.74825
2.26	0.72974
2.13	0.73527
2.17	0.72928
1.87	0.7727
1.99	0.76751
2.03	0.75772
1.85	0.76564
2.11	0.75959
1.98	0.76191
2.56	0.69954
1.62	0.78016
1.71	0.77154
1.62	0.77689
2.46	0.69898
1.9	0.77234
1.61	0.77886
1.77	0.77589
1.87	0.7643
1.68	0.78576
2.16	0.72454
1.92	0.7633
2.2	0.73503
1.96	0.73943
1.82	0.77439
1.59	0.77797
1.63	0.77776
2.07	0.73796
1.66	0.7759
1.77	0.76822
2.29	0.7255
2.29	0.72023
1.82	0.76967
1.85	0.76689
1.59	0.79137
1.87	0.76459
1.82	0.75945
1.82	0.77624
2.03	0.75151
1.8	0.75658
2.02	0.75501
1.98	0.73828
1.91	0.76945
1.72	0.78728
1.61	0.77784
2.26	0.73638
1.85	0.76761
1.64	0.7891
2.65	0.68059
1.8	0.77469
2.2	0.73929
2.02	0.7463
2.12	0.74469
2.07	0.73708
1.94	0.78372
1.9	0.77844
1.89	0.76645
1.96	0.75033
2.08	0.74432
2.13	0.7393
2.68	0.67573
1.92	0.76798
1.85	0.75255
1.96	0.75104
2.58	0.68108
2.04	0.74031
1.82	0.75222
1.96	0.75123
2.02	0.74416
1.85	0.76434
2.44	0.70605
2.06	0.74211
2.28	0.72183
2.31	0.71084
1.99	0.7497
1.93	0.75209
1.81	0.75793
2.23	0.72054
1.81	0.75785
1.82	0.76071
2.42	0.70485
2.32	0.69895
1.95	0.75046
1.97	0.74979
1.77	0.76934
2.03	0.74535
1.91	0.74816
1.97	0.75761
2.18	0.72853
2.04	0.72606
2.11	0.74008
2.06	0.7265
1.93	0.75629
1.9	0.76364
1.91	0.76215
2.38	0.72006
1.96	0.75321
1.82	0.76556
2.75	0.66919
1.92	0.76099
2.31	0.72304
2.19	0.72418
2.16	0.7335
2.14	0.73019
2.13	0.75766
2.05	0.75647
2.06	0.74055
1.82	0.77105
1.89	0.77456
1.85	0.78133
2.3	0.73875
1.75	0.7639
1.66	0.7787
1.87	0.7781
2.22	0.72261
1.83	0.78496
1.56	0.78675
1.73	0.78121
1.78	0.779
1.64	0.79111
1.94	0.75709
2.02	0.7682
2.09	0.75472
1.76	0.7648
1.77	0.7831
1.8	0.769
1.64	0.77705
1.92	0.75785
1.65	0.77751
1.87	0.75612
2.1	0.75175
2.08	0.75135
1.92	0.77408
1.79	0.77816
1.61	0.79112
1.77	0.77801
1.87	0.77331
1.72	0.78625
1.85	0.78003
1.7	0.76794
1.85	0.76608
1.8	0.76486
1.88	0.77396
1.82	0.77181
1.54	0.78605
1.93	0.75701
1.84	0.77162
1.69	0.78355
2.33	0.72971
1.79	0.77758
2.12	0.74801
1.82	0.77391
1.92	0.77673
1.97	0.75327
1.69	0.7834
1.91	0.77775
1.82	0.77542
1.79	0.77237
1.96	0.76478
1.76	0.77701
2.37	0.7144
1.66	0.77552
1.77	0.7774
1.71	0.77733
2.28	0.71243
1.7	0.78107
1.69	0.78335
1.65	0.7857
1.75	0.77997
1.66	0.78565
2.09	0.75042
1.93	0.76017
1.98	0.75368
1.99	0.7463
1.79	0.77771
1.75	0.76906
1.7	0.78399
1.82	0.76439
1.75	0.77686
1.96	0.75271
2.27	0.74144
2.01	0.74214
1.8	0.77012
1.78	0.77793
1.81	0.79477
1.8	0.77193
1.87	0.77175
1.66	0.78561
1.9	0.76936
1.93	0.75015
1.88	0.76141
1.81	0.76265
1.78	0.77068
1.79	0.77454
1.63	0.7895
2.08	0.75973
1.81	0.77011
1.63	0.78692
2.36	0.71729
1.74	0.78274
2.2	0.73721
1.99	0.76502
1.9	0.76187
2.01	0.7493
1.86	0.78602
1.92	0.77567
1.88	0.76706
1.85	0.75889
2.04	0.77431
1.73	0.77833
2.41	0.73606
1.84	0.7565
1.8	0.76945
1.74	0.77174
2.25	0.72481
1.72	0.77566
1.68	0.7803
1.85	0.77242
1.91	0.77552
1.66	0.7805
1.95	0.76591
1.91	0.75326
1.94	0.75499
1.82	0.76305
1.75	0.77326
1.82	0.7548
1.78	0.76714
1.85	0.76241
1.79	0.76738
2.11	0.73682
2.39	0.75272
1.91	0.75293
2.01	0.7594
1.73	0.77591
1.81	0.77722
1.71	0.77858
1.8	0.77202
1.66	0.78084
1.65	0.78147
1.82	0.75891
1.97	0.75865
1.85	0.76893
1.9	0.76601
1.83	0.75877
1.6	0.78513
1.93	0.76212
1.92	0.76694
1.77	0.76549
2.05	0.74872
1.87	0.77512
2.04	0.73625
1.75	0.77332
1.99	0.77113
2.08	0.75126
1.89	0.76597
1.8	0.76694
1.84	0.76332
1.84	0.77283
1.97	0.77054
1.77	0.7764
2.26	0.73077
1.88	0.76956
1.75	0.78279
1.81	0.77857
2.29	0.72341
1.74	0.78026
1.73	0.78246
1.8	0.78226
1.85	0.77809
1.72	0.78779
2.08	0.74684
1.93	0.77068
1.99	0.75159
2.03	0.74936
1.85	0.78067
2.06	0.76572
1.76	0.78016
2.06	0.74883
1.77	0.78098
1.86	0.76271
2.19	0.74512
2.02	0.75159
1.81	0.77773
1.78	0.77506
1.6	0.79798
1.96	0.76472
1.85	0.77228
1.89	0.78073
1.82	0.77146
1.91	0.75717
1.9	0.76867
2.01	0.76134
1.88	0.77544
1.79	0.77429
1.76	0.78248
1.86	0.75187
1.89	0.77597
1.67	0.78465
2.15	0.71645
1.76	0.78422
2.14	0.74896
1.97	0.76392
1.83	0.77697
2.01	0.75445
1.78	0.78287
1.83	0.77629
1.9	0.77504
1.8	0.766
1.91	0.76059
1.83	0.76489
2.48	0.71973
1.84	0.76564
1.81	0.76948
1.78	0.76888
2.48	0.70278
1.8	0.76867
1.7	0.78016
1.72	0.77435
1.79	0.7698
1.68	0.77971
2.15	0.73913
1.89	0.75518
2.03	0.74348
2.01	0.74572
1.7	0.77978
1.79	0.76437
1.76	0.77156
1.98	0.74953
1.8	0.76849
1.98	0.75228
2.34	0.74509
2.07	0.73262
1.82	0.76205
1.78	0.76834
1.84	0.78357
1.83	0.76505
1.86	0.76384
2.03	0.77605
1.86	0.76068
1.89	0.75225
2.07	0.76005
2.12	0.75299
2.0	0.76909
1.8	0.76564
1.7	0.77838
2.16	0.74807
1.8	0.76527
1.69	0.77567
2.39	0.71608
1.73	0.77342
2.08	0.73533
1.8	0.75626
2.17	0.75863
2.02	0.74199
1.76	0.76926
1.84	0.76741
1.85	0.76211
1.9	0.76517
2.05	0.76094
1.99	0.76658
2.43	0.70717
1.66	0.77965
1.74	0.77246
1.64	0.7774
2.41	0.70113
1.68	0.77547
1.6	0.78356
1.65	0.77794
1.88	0.77075
1.71	0.78643
2.09	0.73877
2.0	0.76046
2.02	0.73951
1.91	0.7466
1.86	0.77641
1.63	0.77469
1.65	0.779
1.97	0.75224
1.67	0.77688
1.88	0.75934
2.28	0.73566
2.08	0.72771
1.89	0.76783
1.72	0.77161
1.79	0.78766
1.84	0.7742
1.84	0.76204
1.61	0.78217
2.0	0.76211
1.84	0.75136
1.98	0.75265
1.95	0.74819
1.95	0.76888
1.65	0.78058
1.54	0.78902
2.11	0.74338
1.89	0.76686
1.53	0.79033
2.56	0.69393
1.67	0.77825
2.28	0.73129
1.87	0.75569
2.16	0.75447
2.14	0.73465
1.83	0.7839
1.98	0.77391
1.97	0.76334
1.94	0.75825
2.13	0.75297
1.99	0.76215
2.55	0.6982
1.68	0.77584
1.77	0.76664
1.78	0.777
2.48	0.70087
1.92	0.77265
1.77	0.78152
1.86	0.77952
1.94	0.76199
1.71	0.78705
2.13	0.72938
2.03	0.75817
2.26	0.73168
1.91	0.74585
1.89	0.77458
1.71	0.78043
1.69	0.77329
2.14	0.74317
1.67	0.77559
1.84	0.76209
2.45	0.72233
2.28	0.72203
1.93	0.7637
1.8	0.76012
1.68	0.78554
1.89	0.76524
1.87	0.75743
1.57	0.78319
1.99	0.75801
1.78	0.75982
2.01	0.75072
2.16	0.73619
1.93	0.76854
1.63	0.7821
1.59	0.7804
2.15	0.73467
2.0	0.76506
1.77	0.79171
2.45	0.68724
1.73	0.77047
2.23	0.73888
2.13	0.74767
2.1	0.74357
2.18	0.73075
1.78	0.788
1.98	0.77219
1.99	0.76411
1.85	0.76006
1.9	0.76342
1.94	0.76031
2.42	0.70872
1.88	0.77079
1.94	0.76441
1.97	0.77476
2.45	0.70831
2.05	0.76601
1.71	0.78014
2.03	0.7683
1.97	0.76161
1.64	0.78662
2.27	0.72861
1.92	0.75707
2.13	0.74141
2.02	0.74397
1.77	0.77396
2.0	0.76838
1.81	0.76849
2.19	0.74533
1.8	0.77287
2.0	0.76069
2.28	0.733
2.3	0.72739
1.84	0.76069
1.82	0.7666
1.85	0.7842
1.84	0.76641
2.0	0.76374
1.97	0.78426
1.97	0.75413
2.04	0.75048
2.12	0.75682
2.08	0.74892
2.06	0.76628
1.77	0.77403
1.99	0.77836
2.22	0.74029
2.06	0.77021
1.66	0.78338
2.3	0.69496
1.82	0.77419
2.21	0.73268
1.97	0.74771
1.87	0.75834
2.01	0.74512
1.95	0.77703
1.9	0.76642
1.88	0.76174
1.71	0.76247
