rmsd	tmscore
2.09	0.75088
1.82	0.76003
1.98	0.74794
1.94	0.75653
1.87	0.755
2.17	0.74991
2.45	0.71298
2.02	0.75097
2.04	0.73288
1.66	0.74019
1.89	0.75768
2.31	0.71699
1.74	0.76825
1.77	0.76289
2.16	0.74273
2.18	0.75372
1.95	0.75736
1.77	0.77123
2.01	0.74295
1.86	0.75568
2.05	0.73665
1.84	0.76514
2.4	0.7148
1.98	0.74648
2.39	0.73921
1.95	0.74518
2.2	0.74395
2.15	0.72022
1.99	0.74103
2.28	0.71493
1.97	0.73317
2.03	0.73523
2.15	0.72304
2.24	0.7349
1.89	0.75722
2.06	0.748
2.0	0.75771
1.95	0.74844
2.47	0.72735
1.99	0.74359
1.92	0.75529
1.86	0.75982
1.84	0.75969
1.99	0.74718
2.01	0.75183
2.54	0.70977
2.28	0.75051
1.89	0.75091
2.01	0.73511
2.05	0.73544
2.15	0.74068
2.05	0.74513
1.92	0.72758
1.9	0.74698
2.11	0.73178
2.21	0.75618
2.16	0.72977
2.14	0.7432
1.75	0.76523
2.04	0.73146
1.82	0.75918
2.0	0.74795
2.02	0.73301
2.09	0.73222
1.99	0.73355
2.09	0.7192
2.3	0.72529
2.65	0.68267
2.09	0.71748
2.32	0.71003
2.2	0.72561
2.22	0.72221
2.13	0.72383
2.08	0.73049
1.94	0.73638
2.0	0.73756
2.12	0.71205
2.06	0.73718
2.15	0.73852
2.12	0.72931
2.09	0.72337
2.05	0.7276
2.02	0.72585
2.3	0.72499
2.05	0.72832
2.45	0.69589
2.13	0.73032
2.08	0.74012
2.1	0.71661
2.19	0.73024
2.04	0.7124
2.27	0.71469
1.99	0.72852
2.11	0.7167
2.45	0.68874
2.23	0.72282
2.34	0.709
2.18	0.71605
1.95	0.73611
2.26	0.71669
2.17	0.73646
1.88	0.74176
2.2	0.72974
1.82	0.75067
2.23	0.72622
2.23	0.72326
2.34	0.7041
2.05	0.73053
2.07	0.74354
2.01	0.73221
1.84	0.74833
2.16	0.73645
2.22	0.72541
2.05	0.73021
1.97	0.73501
1.84	0.74999
2.25	0.74194
2.47	0.69232
2.18	0.74004
1.95	0.73297
2.2	0.7101
1.89	0.74192
1.91	0.7521
1.89	0.75701
1.92	0.73856
1.89	0.7534
1.9	0.74249
2.17	0.73611
2.42	0.69884
1.8	0.75119
2.17	0.71591
1.98	0.74791
2.03	0.74679
2.1	0.71568
1.91	0.7525
1.87	0.75815
1.85	0.752
1.84	0.73722
1.86	0.7488
2.08	0.74434
1.99	0.74575
1.87	0.74414
2.06	0.7275
1.76	0.76132
2.28	0.71515
2.01	0.72582
2.13	0.72604
